Year,Age Range,County,White,Black,American Indian,Asian,Total
2005,11-17,"Weston County","621","2","13","0","636",
2000,11-17,"Albany County","2230","42","41","34","2347",
2000,11-17,"Big Horn County","1392","7","19","8","1426",
2000,11-17,"Campbell County","4577","11","65","23","4676",
2000,11-17,"Carbon County","1649","15","18","20","1702",
2000,11-17,"Converse County","1536","8","15","6","1565",
2000,11-17,"Crook County","794","0","12","0","806",
2000,11-17,"Fremont County","3157","11","1197","12","4377",
2000,11-17,"Goshen County","1286","5","19","9","1319",
2000,11-17,"Hot Springs County","500","1","17","1","519",
2000,11-17,"Johnson County","772","0","6","1","779",
2000,11-17,"Laramie County","8033","302","103","108","8546",
2000,11-17,"Lincoln County","2081","10","8","5","2104",
2000,11-17,"Natrona County","7050","87","108","41","7286",
2000,11-17,"Niobrara County","250","0","0","1","251",
2000,11-17,"Park County","2894","7","15","23","2939",
2000,11-17,"Platte County","1005","7","9","3","1024",
2000,11-17,"Sheridan County","2906","11","67","23","3007",
2000,11-17,"Sublette County","690","2","2","3","697",
2000,11-17,"Sweetwater County","4738","54","60","18","4870",
2000,11-17,"Teton County","1501","3","5","9","1518",
2000,11-17,"Uinta County","2869","4","38","11","2922",
2000,11-17,"Washakie County","1007","5","11","8","1031",
2000,11-17,"Weston County","789","3","8","2","802",
2002,11-17,"Albany County","2102","45","39","36","2222",
2002,11-17,"Big Horn County","1337","6","18","7","1368",
2002,11-17,"Campbell County","4513","18","70","25","4626",
2002,11-17,"Carbon County","1489","16","19","16","1540",
2002,11-17,"Converse County","1468","12","16","7","1503",
2002,11-17,"Crook County","723","0","11","0","734",
2002,11-17,"Fremont County","2886","12","1217","15","4130",
2002,11-17,"Goshen County","1261","5","23","10","1299",
2002,11-17,"Hot Springs County","462","1","16","1","480",
2002,11-17,"Johnson County","736","0","4","1","741",
2002,11-17,"Laramie County","8017","279","97","103","8496",
2002,11-17,"Lincoln County","1950","11","13","7","1981",
2002,11-17,"Natrona County","6937","92","129","45","7203",
2002,11-17,"Niobrara County","240","1","0","0","241",
2002,11-17,"Park County","2686","11","20","20","2737",
2002,11-17,"Platte County","1014","5","9","3","1031",
2002,11-17,"Sheridan County","2764","13","74","25","2876",
2002,11-17,"Sublette County","661","2","4","3","670",
2002,11-17,"Sweetwater County","4301","55","61","20","4437",
2002,11-17,"Teton County","1555","4","8","11","1578",
2002,11-17,"Uinta County","2683","6","43","13","2745",
2002,11-17,"Washakie County","941","5","16","7","969",
2002,11-17,"Weston County","709","4","9","2","724",
1992,11-17,"Albany County","2398","25","37","37","2497",
1992,11-17,"Big Horn County","1364","0","6","3","1373",
1992,11-17,"Campbell County","4236","7","61","15","4319",
1992,11-17,"Carbon County","1994","7","6","7","2014",
1992,11-17,"Converse County","1530","3","20","3","1556",
1992,11-17,"Crook County","701","0","1","0","702",
1992,11-17,"Fremont County","3218","6","1022","7","4253",
1992,11-17,"Goshen County","1422","4","14","0","1440",
1992,11-17,"Hot Springs County","567","0","20","0","587",
1992,11-17,"Johnson County","711","0","9","1","721",
1992,11-17,"Laramie County","7645","294","83","100","8122",
1992,11-17,"Lincoln County","2049","2","14","0","2065",
1992,11-17,"Natrona County","6970","73","62","41","7146",
1992,11-17,"Niobrara County","260","0","0","0","260",
1992,11-17,"Park County","2668","4","14","11","2697",
1992,11-17,"Platte County","990","0","1","0","991",
1992,11-17,"Sheridan County","2762","5","28","15","2810",
1992,11-17,"Sublette County","586","0","0","0","586",
1992,11-17,"Sweetwater County","5476","44","53","22","5595",
1992,11-17,"Teton County","1066","2","9","4","1081",
1992,11-17,"Uinta County","3088","1","30","5","3124",
1992,11-17,"Washakie County","1065","0","14","2","1081",
1992,11-17,"Weston County","817","0","4","0","821",
2007,11-17,"Albany County","1914","59","33","44","2050",
2007,11-17,"Big Horn County","1232","12","12","2","1258",
2007,11-17,"Campbell County","4376","37","83","23","4519",
2007,11-17,"Carbon County","1281","9","27","12","1329",
2007,11-17,"Converse County","1372","26","18","2","1418",
2007,11-17,"Crook County","680","2","7","0","689",
2007,11-17,"Fremont County","2546","18","1207","17","3788",
2007,11-17,"Goshen County","1139","13","18","5","1175",
2007,11-17,"Hot Springs County","359","6","8","4","377",
2007,11-17,"Johnson County","768","6","6","3","783",
2007,11-17,"Laramie County","7751","321","133","130","8335",
2007,11-17,"Lincoln County","1866","15","21","5","1907",
2007,11-17,"Natrona County","6682","118","132","56","6988",
2007,11-17,"Niobrara County","202","1","0","2","205",
2007,11-17,"Park County","2372","21","28","20","2441",
2007,11-17,"Platte County","877","5","7","7","896",
2007,11-17,"Sheridan County","2409","21","77","15","2522",
2007,11-17,"Sublette County","781","6","13","4","804",
2007,11-17,"Sweetwater County","3907","66","67","35","4075",
2007,11-17,"Teton County","1506","9","14","24","1553",
2007,11-17,"Uinta County","2328","18","37","11","2394",
2007,11-17,"Washakie County","804","9","20","8","841",
2007,11-17,"Weston County","599","2","13","0","614",
1991,11-17,"Albany County","2314","19","35","37","2405",
1991,11-17,"Big Horn County","1324","0","6","4","1334",
1991,11-17,"Campbell County","4037","7","57","15","4116",
1991,11-17,"Carbon County","2008","7","6","9","2030",
1991,11-17,"Converse County","1481","2","19","3","1505",
1991,11-17,"Crook County","677","0","1","0","678",
1991,11-17,"Fremont County","3168","7","981","7","4163",
1991,11-17,"Goshen County","1405","0","13","0","1418",
1991,11-17,"Hot Springs County","546","0","18","0","564",
1991,11-17,"Johnson County","690","0","9","1","700",
1991,11-17,"Laramie County","7277","269","76","107","7729",
1991,11-17,"Lincoln County","1995","1","13","0","2009",
1991,11-17,"Natrona County","6757","60","54","40","6911",
1991,11-17,"Niobrara County","256","0","0","0","256",
1991,11-17,"Park County","2548","3","13","12","2576",
1991,11-17,"Platte County","974","0","1","0","975",
1991,11-17,"Sheridan County","2640","5","32","19","2696",
1991,11-17,"Sublette County","562","0","0","0","562",
1991,11-17,"Sweetwater County","5309","41","47","29","5426",
1991,11-17,"Teton County","989","1","10","4","1004",
1991,11-17,"Uinta County","2974","1","25","5","3005",
1991,11-17,"Washakie County","1057","0","10","3","1070",
1991,11-17,"Weston County","795","0","3","0","798",
