Year,Age Range,County,White,Black,American Indian,Asian,Total
1993,18-20,Albany County,3954,59,24,54,4091
1993,18-20,Big Horn County,346,0,6,0,352
1993,18-20,Campbell County,1105,1,12,0,1118
1993,18-20,Carbon County,557,5,11,4,577
1993,18-20,Converse County,367,0,6,0,373
1993,18-20,Crook County,172,0,2,0,174
1993,18-20,Fremont County,935,3,348,2,1288
1993,18-20,Goshen County,569,5,2,3,579
1993,18-20,Hot Springs County,131,1,2,0,134
1993,18-20,Johnson County,198,0,0,0,198
1993,18-20,Laramie County,3064,142,44,42,3292
1993,18-20,Lincoln County,448,1,5,0,454
1993,18-20,Natrona County,2762,57,27,15,2861
1993,18-20,Niobrara County,70,2,0,0,72
1993,18-20,Park County,1258,0,14,15,1287
1993,18-20,Platte County,246,0,0,2,248
1993,18-20,Sheridan County,950,14,11,0,975
1993,18-20,Sublette County,149,0,0,0,149
1993,18-20,Sweetwater County,1724,20,15,13,1772
1993,18-20,Teton County,373,1,6,0,380
1993,18-20,Uinta County,726,0,2,7,735
1993,18-20,Washakie County,267,1,1,0,269
1993,18-20,Weston County,210,0,13,0,223
1990,18-20,Albany County,3920,57,19,56,4052
1990,18-20,Big Horn County,316,0,5,0,321
1990,18-20,Campbell County,1001,1,14,0,1016
1990,18-20,Carbon County,542,5,7,2,556
1990,18-20,Converse County,357,0,6,0,363
1990,18-20,Crook County,152,0,2,0,154
1990,18-20,Fremont County,867,3,321,5,1196
1990,18-20,Goshen County,522,6,3,4,535
1990,18-20,Hot Springs County,127,1,3,0,131
1990,18-20,Johnson County,210,0,0,0,210
1990,18-20,Laramie County,2953,126,35,48,3162
1990,18-20,Lincoln County,405,1,7,0,413
1990,18-20,Natrona County,2487,51,24,11,2573
1990,18-20,Niobrara County,64,2,0,0,66
1990,18-20,Park County,1152,0,12,9,1173
1990,18-20,Platte County,239,0,0,2,241
1990,18-20,Sheridan County,905,8,10,0,923
1990,18-20,Sublette County,143,0,0,0,143
1990,18-20,Sweetwater County,1526,17,10,11,1564
1990,18-20,Teton County,310,1,8,0,319
1990,18-20,Uinta County,647,0,3,4,654
1990,18-20,Washakie County,259,1,1,0,261
1990,18-20,Weston County,192,0,12,0,204
2009,18-20,Albany County,4495,91,46,99,4731
2009,18-20,Big Horn County,336,9,6,2,353
2009,18-20,Campbell County,1717,32,50,27,1826
2009,18-20,Carbon County,473,7,6,4,490
2009,18-20,Converse County,452,3,2,1,458
2009,18-20,Crook County,221,1,1,0,223
2009,18-20,Fremont County,1092,6,500,7,1605
2009,18-20,Goshen County,637,13,9,7,666
2009,18-20,Hot Springs County,117,0,5,1,123
2009,18-20,Johnson County,211,0,5,2,218
2009,18-20,Laramie County,3348,208,51,69,3676
2009,18-20,Lincoln County,510,2,3,1,516
2009,18-20,Natrona County,3028,62,55,32,3177
2009,18-20,Niobrara County,53,0,0,0,53
2009,18-20,Park County,1263,18,22,29,1332
2009,18-20,Platte County,233,1,2,4,240
2009,18-20,Sheridan County,1099,15,28,21,1163
2009,18-20,Sublette County,280,3,8,4,295
2009,18-20,Sweetwater County,1784,39,40,21,1884
2009,18-20,Teton County,426,7,6,11,450
2009,18-20,Uinta County,761,8,18,3,790
2009,18-20,Washakie County,240,2,6,2,250
2009,18-20,Weston County,234,2,6,1,243
2015,18-20,Albany County,3756,65,25,195,4041
2015,18-20,Big Horn County,397,5,4,4,410
2015,18-20,Campbell County,1496,29,42,7,1574
2015,18-20,Carbon County,419,5,10,5,439
2015,18-20,Converse County,401,10,7,1,419
2015,18-20,Crook County,213,1,3,0,217
2015,18-20,Fremont County,907,11,437,11,1366
2015,18-20,Goshen County,549,17,9,4,579
2015,18-20,Hot Springs County,117,3,2,3,125
2015,18-20,Johnson County,244,6,3,3,256
2015,18-20,Laramie County,3070,221,41,61,3393
2015,18-20,Lincoln County,533,4,12,5,554
2015,18-20,Natrona County,2607,85,57,31,2780
2015,18-20,Niobrara County,67,3,0,1,71
2015,18-20,Park County,1020,18,29,34,1101
2015,18-20,Platte County,236,4,2,4,246
2015,18-20,Sheridan County,1023,24,32,15,1094
2015,18-20,Sublette County,244,4,10,1,259
2015,18-20,Sweetwater County,1548,36,38,31,1653
2015,18-20,Teton County,435,10,9,11,465
2015,18-20,Uinta County,641,10,9,6,666
2015,18-20,Washakie County,229,7,10,6,252
2015,18-20,Weston County,200,4,7,2,213
2008,18-20,Albany County,4431,78,36,94,4639
2008,18-20,Big Horn County,356,5,6,1,368
2008,18-20,Campbell County,1626,26,42,17,1711
2008,18-20,Carbon County,458,6,6,3,473
2008,18-20,Converse County,430,2,3,1,436
2008,18-20,Crook County,198,1,1,0,200
2008,18-20,Fremont County,1041,3,472,4,1520
2008,18-20,Goshen County,657,13,8,6,684
2008,18-20,Hot Springs County,139,0,5,1,145
2008,18-20,Johnson County,229,0,5,1,235
2008,18-20,Laramie County,3223,181,53,55,3512
2008,18-20,Lincoln County,499,2,3,1,505
2008,18-20,Natrona County,2942,66,48,33,3089
2008,18-20,Niobrara County,48,0,0,0,48
2008,18-20,Park County,1238,16,17,25,1296
2008,18-20,Platte County,256,1,2,3,262
2008,18-20,Sheridan County,1051,15,23,16,1105
2008,18-20,Sublette County,262,3,7,3,275
2008,18-20,Sweetwater County,1676,32,30,21,1759
2008,18-20,Teton County,439,4,6,8,457
2008,18-20,Uinta County,791,9,21,3,824
2008,18-20,Washakie County,248,2,6,3,259
2008,18-20,Weston County,220,2,6,1,229
2001,18-20,Albany County,4287,62,46,69,4464
2001,18-20,Big Horn County,422,0,5,1,428
2001,18-20,Campbell County,1504,7,22,5,1538
2001,18-20,Carbon County,559,7,9,4,579
2001,18-20,Converse County,450,1,6,3,460
2001,18-20,Crook County,226,1,3,0,230
2001,18-20,Fremont County,1141,4,424,6,1575
2001,18-20,Goshen County,616,5,7,5,633
2001,18-20,Hot Springs County,152,0,5,1,158
2001,18-20,Johnson County,258,0,3,3,264
2001,18-20,Laramie County,3193,228,46,70,3537
2001,18-20,Lincoln County,588,1,5,3,597
2001,18-20,Natrona County,3074,46,45,23,3188
2001,18-20,Niobrara County,80,1,0,0,81
2001,18-20,Park County,1284,1,13,12,1310
2001,18-20,Platte County,293,3,4,2,302
2001,18-20,Sheridan County,1075,9,24,2,1110
2001,18-20,Sublette County,185,1,0,0,186
2001,18-20,Sweetwater County,1909,19,19,25,1972
2001,18-20,Teton County,537,1,3,4,545
2001,18-20,Uinta County,900,2,18,2,922
2001,18-20,Washakie County,295,2,3,0,300
2001,18-20,Weston County,262,0,14,0,276
1996,18-20,Albany County,4016,60,33,43,4152
1996,18-20,Big Horn County,396,0,6,0,402
1996,18-20,Campbell County,1263,3,13,0,1279
1996,18-20,Carbon County,571,8,13,3,595
1996,18-20,Converse County,393,0,6,0,399
1996,18-20,Crook County,203,0,3,0,206
1996,18-20,Fremont County,1051,2,364,2,1419
1996,18-20,Goshen County,627,6,4,5,642
1996,18-20,Hot Springs County,142,1,2,0,145
1996,18-20,Johnson County,211,0,0,0,211
1996,18-20,Laramie County,3127,146,42,49,3364
1996,18-20,Lincoln County,515,3,6,0,524
1996,18-20,Natrona County,3023,48,36,20,3127
1996,18-20,Niobrara County,76,1,0,0,77
1996,18-20,Park County,1369,0,14,13,1396
1996,18-20,Platte County,269,0,0,1,270
