"Easy Access to Juvenile Populations"
"Table:    Hot Springs County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Asian"

"counts","Asian","Total",
"0","0","0",
"1","0","0",
"2","0","0",
"3","0","0",
"4","0","0",
"5","0","0",
"6","1","1",
"7","0","0",
"8","0","0",
"9","0","0",
"10","0","0",
"11","0","0",
"12","0","0",
"13","1","1",
"14","0","0",
"15","1","1",
"16","0","0",
"17","0","0",
"18 to 20","4","4",
"21 to 24","2","2",
"25 & over","25","25",
"Total","34","34",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
